Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action,Placement,0.000000000000000000e+00,1.084219961999999954e-01,-7.871580184000000202e-02,-4.769819390999999742e-01,4.954425062000000213e-01
0.687,15.2,-4.17,1.88,15.8,1.0,1.0,,,,,
0.697,17.6,-3.65,2.31,18.1,1.0,1.0,,,,,
0.707,20.6,-2.98,2.71,21.0,1.0,1.0,,,,,
0.717,23.8,-1.97,3.18,24.1,1.0,1.0,,,,,
0.727,28.0,-0.502,4.14,28.3,1.0,1.0,,,,,
0.737,32.7,2.0,5.83,33.3,1.0,1.0,,,,,
0.747,35.9,5.59,7.55,37.1,1.0,1.0,,,,,
0.757,35.0,9.45,8.32,37.2,1.0,1.0,,,,,
0.767,30.0,12.3,8.28,33.5,1.0,1.0,,,,,
0.777,24.5,13.9,7.6,29.1,1.0,1.0,,,,,
0.787,22.2,15.5,4.64,27.5,1.0,1.0,,,,,
0.797,23.2,14.6,3.63,27.7,1.0,1.0,,,,,
0.807,23.4,10.9,3.38,26.0,1.0,1.0,,,,,
0.817,22.6,8.04,2.12,24.1,1.0,1.0,,,,,
0.827,21.4,7.18,1.68,22.6,1.0,1.0,,,,,
0.837,20.6,6.65,2.34,21.8,1.0,1.0,,,,,
0.847,20.9,5.71,2.49,21.8,1.0,1.0,,,,,
0.857,20.7,4.68,2.25,21.3,1.0,1.0,,,,,
0.867,19.5,3.98,2.47,20.0,1.0,1.0,,,,,
0.877,18.0,4.09,2.5,18.6,1.0,1.0,,,,,
0.887,17.1,4.29,2.16,17.8,1.0,1.0,,,,,
0.897,16.9,3.96,2.16,17.5,1.0,1.0,,,,,
0.907,16.7,3.36,2.21,17.2,1.0,1.0,,,,,
0.917,16.3,2.77,2.06,16.7,1.0,1.0,,,,,
0.927,15.7,2.05,2.11,16.0,1.0,1.0,,,,,
0.937,14.9,1.26,2.42,15.2,1.0,1.0,,,,,
0.947,14.0,0.723,2.79,14.3,1.0,1.0,,,,,
0.957,13.0,0.228,3.06,13.3,1.0,1.0,,,,,
0.967,11.8,-0.348,3.25,12.2,1.0,1.0,,,,,
0.977,10.7,-0.979,3.41,11.3,1.0,1.0,,,,,
0.987,9.89,-1.56,3.48,10.6,1.0,1.0,,,,,
0.997,8.97,-2.2,3.53,9.89,1.0,1.0,,,,,
1.01,7.83,-2.7,3.42,8.96,1.0,1.0,,,,,
1.02,6.47,-2.92,3.14,7.76,1.0,1.0,,,,,
1.03,5.16,-2.96,2.88,6.61,1.0,1.0,,,,,
1.04,3.99,-2.98,2.65,5.64,1.0,1.0,,,,,
1.05,2.89,-3.02,2.28,4.76,1.0,1.0,,,,,
1.06,1.9,-3.05,1.9,4.07,1.0,1.0,,,,,
1.07,1.08,-3.01,1.64,3.6,1.0,1.0,,,,,
1.08,0.431,-2.92,1.41,3.28,1.0,1.0,,,,,
1.09,-0.0322,-2.91,1.3,3.18,1.0,1.0,,,,,
1.1,-0.475,-2.9,1.28,3.2,1.0,1.0,,,,,
1.11,-0.819,-2.87,1.34,3.27,1.0,1.0,,,,,
1.12,-0.979,-2.98,1.37,3.42,1.0,1.0,,,,,
1.13,-1.17,-3.15,1.29,3.61,1.0,1.0,,,,,
1.14,-1.44,-3.23,1.22,3.74,1.0,1.0,,,,,
1.15,-1.76,-3.18,1.18,3.82,1.0,1.0,,,,,
1.16,-2.04,-3.05,1.22,3.87,1.0,1.0,,,,,
1.17,-2.15,-2.93,1.27,3.85,1.0,1.0,,,,,
1.18,-2.1,-2.88,1.36,3.81,1.0,1.0,,,,,
1.19,-1.95,-2.8,1.53,3.74,1.0,1.0,,,,,
1.2,-1.64,-2.77,1.67,3.62,1.0,1.0,,,,,
1.21,-1.21,-2.81,1.8,3.55,1.0,1.0,,,,,
1.22,-0.719,-2.84,1.95,3.52,1.0,1.0,,,,,
1.23,-0.012,-2.92,2.07,3.58,1.0,1.0,,,,,
1.24,0.996,-3.06,1.98,3.78,1.0,1.0,,,,,
1.25,2.19,-3.29,1.93,4.4,1.0,1.0,,,,,
1.26,3.5,-3.58,1.91,5.36,1.0,1.0,,,,,
1.27,4.71,-3.77,1.88,6.32,1.0,1.0,,,,,
1.28,5.75,-3.77,1.89,7.13,1.0,1.0,,,,,
1.29,7.17,-3.8,2.02,8.36,1.0,1.0,,,,,
1.3,9.25,-4.05,2.16,10.3,1.0,1.0,,,,,
1.31,11.9,-4.37,2.21,12.9,1.0,1.0,,,,,
1.32,15.0,-4.56,2.11,15.8,1.0,1.0,,,,,
1.33,18.2,-4.32,2.24,18.8,1.0,1.0,,,,,
1.34,21.8,-3.01,2.87,22.2,1.0,1.0,,,,,
1.35,25.3,-0.818,3.53,25.6,1.0,1.0,,,,,
1.36,28.5,1.8,3.81,28.8,1.0,1.0,,,,,
1.37,31.1,4.59,4.1,31.7,1.0,1.0,,,,,
1.38,32.4,7.52,4.3,33.5,1.0,1.0,,,,,
1.39,31.5,10.3,3.44,33.4,1.0,1.0,,,,,
1.4,28.2,11.7,3.16,30.7,1.0,1.0,,,,,
1.41,25.2,11.9,3.91,28.2,1.0,1.0,,,,,
1.42,24.6,12.7,2.92,27.8,1.0,1.0,,,,,
1.43,25.0,12.9,1.66,28.2,1.0,1.0,,,,,
1.44,24.7,11.9,1.38,27.5,1.0,1.0,,,,,
1.45,24.0,10.7,1.22,26.3,1.0,1.0,,,,,
1.46,22.6,9.72,1.39,24.7,1.0,1.0,,,,,
1.47,21.4,8.65,2.03,23.2,1.0,1.0,,,,,
1.48,20.8,7.77,2.58,22.4,1.0,1.0,,,,,
1.49,20.4,6.86,3.03,21.7,1.0,1.0,,,,,
1.5,19.9,5.8,3.19,21.0,1.0,1.0,,,,,
1.51,19.0,4.93,3.15,19.9,1.0,1.0,,,,,
1.52,18.1,4.19,3.23,18.9,1.0,1.0,,,,,
1.53,17.6,3.4,3.24,18.2,1.0,1.0,,,,,
1.54,17.1,2.45,3.2,17.6,1.0,1.0,,,,,
1.55,16.4,1.49,3.13,16.8,1.0,1.0,,,,,
1.56,15.6,0.607,3.16,15.9,1.0,1.0,,,,,
1.57,14.6,-0.296,3.21,15.0,1.0,1.0,,,,,
1.58,13.5,-1.16,3.24,14.0,1.0,1.0,,,,,
1.59,12.4,-1.88,3.24,13.0,1.0,1.0,,,,,
1.6,11.4,-2.42,3.31,12.1,1.0,1.0,,,,,
1.61,10.3,-2.88,3.4,11.3,1.0,1.0,,,,,
1.62,9.31,-3.38,3.31,10.4,1.0,1.0,,,,,
1.63,8.15,-3.82,2.98,9.48,1.0,1.0,,,,,
1.64,6.91,-4.07,2.64,8.45,1.0,1.0,,,,,
1.65,5.68,-4.16,2.41,7.44,1.0,1.0,,,,,
1.66,4.47,-4.05,2.21,6.42,1.0,1.0,,,,,
1.67,3.39,-3.91,1.99,5.54,1.0,1.0,,,,,
1.68,2.54,-3.77,1.8,4.89,1.0,1.0,,,,,
1.69,1.94,-3.55,1.7,4.39,1.0,1.0,,,,,
1.7,1.55,-3.38,1.62,4.05,1.0,1.0,,,,,
1.71,1.19,-3.21,1.56,3.76,1.0,1.0,,,,,
1.72,0.89,-2.88,1.65,3.43,1.0,1.0,,,,,
1.73,0.697,-2.57,1.71,3.17,1.0,1.0,,,,,
1.74,0.476,-2.51,1.68,3.06,1.0,1.0,,,,,
1.75,0.0868,-2.42,1.76,3.0,1.0,1.0,,,,,
1.76,-0.357,-2.16,1.87,2.88,1.0,1.0,,,,,
1.77,-0.697,-1.94,1.8,2.74,1.0,1.0,,,,,
1.78,-0.909,-1.85,1.73,2.69,1.0,1.0,,,,,
1.79,-1.06,-1.8,1.73,2.71,1.0,1.0,,,,,
1.8,-1.19,-1.73,1.68,2.68,1.0,1.0,,,,,
1.81,-1.29,-1.58,1.65,2.62,1.0,1.0,,,,,
1.82,-1.24,-1.43,1.68,2.53,1.0,1.0,,,,,
1.83,-1.01,-1.37,1.62,2.35,1.0,1.0,,,,,
1.84,-0.633,-1.46,1.56,2.23,1.0,1.0,,,,,
1.85,-0.282,-1.66,1.56,2.29,1.0,1.0,,,,,
1.86,0.131,-1.9,1.53,2.44,1.0,1.0,,,,,
1.87,0.597,-2.09,1.58,2.69,1.0,1.0,,,,,
1.88,1.21,-2.35,1.79,3.19,1.0,1.0,,,,,
1.89,2.15,-2.82,1.87,4.01,1.0,1.0,,,,,
1.9,3.24,-3.28,1.9,4.98,1.0,1.0,,,,,
1.91,4.49,-3.7,1.96,6.13,1.0,1.0,,,,,
1.92,5.95,-4.03,2.09,7.49,1.0,1.0,,,,,
1.93,7.58,-4.36,2.06,8.99,1.0,1.0,,,,,
1.94,9.41,-4.78,1.94,10.7,1.0,1.0,,,,,
1.95,11.8,-5.11,1.96,13.0,1.0,1.0,,,,,
1.96,14.5,-4.81,2.22,15.4,1.0,1.0,,,,,
1.97,18.1,-4.02,2.73,18.7,1.0,1.0,,,,,
1.98,22.2,-2.84,3.5,22.7,1.0,1.0,,,,,
1.99,26.6,-1.03,4.51,27.0,1.0,1.0,,,,,
2.0,30.8,1.83,5.44,31.3,1.0,1.0,,,,,
2.01,33.5,5.05,6.28,34.5,1.0,1.0,,,,,
2.02,33.1,7.54,4.99,34.3,1.0,1.0,,,,,
2.03,29.2,9.16,3.53,30.8,1.0,1.0,,,,,
2.04,24.4,10.1,6.26,27.1,1.0,1.0,,,,,
2.05,21.8,11.0,6.53,25.3,1.0,1.0,,,,,
2.06,21.9,11.6,3.01,25.0,1.0,1.0,,,,,
2.07,22.4,10.6,1.64,24.8,1.0,1.0,,,,,
2.08,22.7,8.89,1.28,24.4,1.0,1.0,,,,,
2.09,22.5,8.19,0.367,23.9,1.0,1.0,,,,,
2.1,21.2,8.27,0.199,22.8,1.0,1.0,,,,,
2.11,19.9,8.19,0.612,21.5,1.0,1.0,,,,,
2.12,19.7,7.78,1.0,21.2,1.0,1.0,,,,,
2.13,19.2,7.58,1.63,20.7,1.0,1.0,,,,,
2.14,18.4,7.68,2.45,20.1,1.0,1.0,,,,,
2.15,17.5,7.57,2.96,19.3,1.0,1.0,,,,,
2.16,17.1,6.85,3.18,18.7,1.0,1.0,,,,,
2.17,17.2,5.71,3.3,18.4,1.0,1.0,,,,,
2.18,17.2,4.67,3.46,18.2,1.0,1.0,,,,,
2.19,17.0,3.82,3.64,17.8,1.0,1.0,,,,,
2.2,16.8,2.92,3.65,17.4,1.0,1.0,,,,,
2.21,16.5,1.93,3.58,17.0,1.0,1.0,,,,,
2.22,15.9,0.973,3.66,16.4,1.0,1.0,,,,,
2.23,15.1,0.114,3.81,15.6,1.0,1.0,,,,,
2.24,14.1,-0.68,4.04,14.7,1.0,1.0,,,,,
2.25,12.9,-1.45,4.22,13.7,1.0,1.0,,,,,
2.26,11.7,-2.12,4.31,12.7,1.0,1.0,,,,,
2.27,10.6,-2.73,4.39,11.8,1.0,1.0,,,,,
2.28,9.48,-3.3,4.33,10.9,1.0,1.0,,,,,
2.29,8.34,-3.81,4.07,10.0,1.0,1.0,,,,,
2.3,7.11,-4.14,3.67,9.01,1.0,1.0,,,,,
2.31,5.82,-4.24,3.23,7.89,1.0,1.0,,,,,
2.32,4.64,-4.18,2.81,6.85,1.0,1.0,,,,,
2.33,3.62,-4.16,2.44,6.03,1.0,1.0,,,,,
2.34,2.71,-4.05,2.07,5.29,1.0,1.0,,,,,
2.35,1.94,-3.86,1.81,4.68,1.0,1.0,,,,,
2.36,1.31,-3.77,1.64,4.31,1.0,1.0,,,,,
2.37,0.829,-3.68,1.49,4.05,1.0,1.0,,,,,
2.38,0.484,-3.58,1.33,3.85,1.0,1.0,,,,,
2.39,0.159,-3.46,1.2,3.67,1.0,1.0,,,,,
2.4,-0.235,-3.28,1.09,3.46,1.0,1.0,,,,,
2.41,-0.647,-3.05,1.02,3.28,1.0,1.0,,,,,
2.42,-1.09,-2.81,1.03,3.19,1.0,1.0,,,,,
2.43,-1.52,-2.58,1.02,3.16,1.0,1.0,,,,,
2.44,-1.87,-2.38,0.986,3.19,1.0,1.0,,,,,
2.45,-2.15,-2.17,1.04,3.23,1.0,1.0,,,,,
2.46,-2.25,-1.96,1.06,3.17,1.0,1.0,,,,,
2.47,-2.17,-1.87,1.13,3.08,1.0,1.0,,,,,
2.48,-2.02,-1.86,1.26,3.02,1.0,1.0,,,,,
2.49,-1.65,-1.87,1.26,2.79,1.0,1.0,,,,,
2.5,-1.12,-1.96,1.21,2.56,1.0,1.0,,,,,
2.51,-0.487,-2.15,1.21,2.52,1.0,1.0,,,,,
2.52,0.273,-2.42,1.27,2.75,1.0,1.0,,,,,
2.53,1.2,-2.69,1.36,3.24,1.0,1.0,,,,,
2.54,2.37,-2.96,1.36,4.03,1.0,1.0,,,,,
2.55,3.71,-3.2,1.37,5.09,1.0,1.0,,,,,
2.56,5.33,-3.43,1.46,6.51,1.0,1.0,,,,,
2.57,7.41,-3.74,1.46,8.43,1.0,1.0,,,,,
2.58,9.35,-4.1,1.5,10.3,1.0,1.0,,,,,
2.59,11.2,-4.53,1.45,12.2,1.0,1.0,,,,,
2.6,13.2,-4.8,1.42,14.2,1.0,1.0,,,,,
2.61,15.8,-4.88,1.7,16.6,1.0,1.0,,,,,
2.62,18.9,-4.6,1.96,19.6,1.0,1.0,,,,,
2.63,22.3,-3.39,2.33,22.7,1.0,1.0,,,,,
2.64,26.0,-1.09,2.93,26.2,1.0,1.0,,,,,
2.65,29.6,1.35,3.24,29.9,1.0,1.0,,,,,
2.66,32.0,3.62,2.58,32.3,1.0,1.0,,,,,
2.67,32.6,5.72,1.87,33.2,1.0,1.0,,,,,
2.68,30.3,7.67,1.57,31.3,1.0,1.0,,,,,
2.69,26.3,9.81,2.23,28.2,1.0,1.0,,,,,
2.7,23.3,11.4,1.85,26.0,1.0,1.0,,,,,
2.71,22.3,11.8,0.013,25.2,1.0,1.0,,,,,
2.72,22.4,10.3,-0.447,24.6,1.0,1.0,,,,,
2.73,21.8,8.41,-0.782,23.3,1.0,1.0,,,,,
2.74,20.8,7.3,-1.1,22.1,1.0,1.0,,,,,
2.75,19.4,6.94,-1.15,20.7,1.0,1.0,,,,,
2.76,18.5,6.89,-0.654,19.7,1.0,1.0,,,,,
2.77,17.9,6.96,0.00898,19.2,1.0,1.0,,,,,
2.78,17.4,7.24,0.511,18.8,1.0,1.0,,,,,
2.79,17.0,7.29,0.96,18.6,1.0,1.0,,,,,
2.8,17.1,7.01,1.12,18.6,1.0,1.0,,,,,
2.81,17.3,6.62,1.13,18.6,1.0,1.0,,,,,
2.82,17.4,6.17,1.3,18.5,1.0,1.0,,,,,
2.83,17.5,5.45,1.6,18.4,1.0,1.0,,,,,
2.84,17.4,4.38,1.77,18.0,1.0,1.0,,,,,
2.85,16.7,3.28,1.87,17.2,1.0,1.0,,,,,
2.86,15.8,2.35,2.15,16.1,1.0,1.0,,,,,
2.87,14.6,1.54,2.48,14.9,1.0,1.0,,,,,
2.88,13.5,0.803,2.77,13.8,1.0,1.0,,,,,
2.89,12.4,0.191,3.17,12.8,1.0,1.0,,,,,
2.9,11.5,-0.288,3.48,12.0,1.0,1.0,,,,,
2.91,10.8,-0.728,3.62,11.4,1.0,1.0,,,,,
2.92,10.2,-1.21,3.63,10.9,1.0,1.0,,,,,
2.93,9.39,-1.67,3.54,10.2,1.0,1.0,,,,,
2.94,8.54,-2.03,3.43,9.42,1.0,1.0,,,,,
2.95,7.7,-2.23,3.32,8.67,1.0,1.0,,,,,
2.96,6.99,-2.37,3.21,8.05,1.0,1.0,,,,,
2.97,6.36,-2.62,3.11,7.55,1.0,1.0,,,,,
2.98,5.76,-2.86,3.04,7.11,1.0,1.0,,,,,
2.99,5.18,-3.0,2.96,6.68,1.0,1.0,,,,,
3.0,4.44,-3.07,2.82,6.09,1.0,1.0,,,,,
3.01,3.53,-3.07,2.68,5.39,1.0,1.0,,,,,
3.02,2.68,-2.96,2.59,4.76,1.0,1.0,,,,,
3.03,1.98,-2.75,2.44,4.18,1.0,1.0,,,,,
3.04,1.38,-2.54,2.28,3.68,1.0,1.0,,,,,
3.05,0.848,-2.42,2.14,3.34,1.0,1.0,,,,,
3.06,0.4,-2.33,1.97,3.08,1.0,1.0,,,,,
3.07,0.0268,-2.19,1.78,2.82,1.0,1.0,,,,,
3.08,-0.273,-2.1,1.62,2.67,1.0,1.0,,,,,
3.09,-0.557,-2.09,1.47,2.61,1.0,1.0,,,,,
3.1,-0.819,-2.12,1.3,2.62,1.0,1.0,,,,,
3.11,-1.07,-2.08,1.24,2.65,1.0,1.0,,,,,
3.12,-1.22,-1.97,1.32,2.67,1.0,1.0,,,,,
3.13,-1.17,-1.86,1.35,2.58,1.0,1.0,,,,,
3.14,-0.882,-1.87,1.38,2.49,1.0,1.0,,,,,
3.15,-0.388,-1.98,1.38,2.44,1.0,1.0,,,,,
3.16,0.0942,-2.04,1.33,2.44,1.0,1.0,,,,,
3.17,0.713,-2.09,1.36,2.59,1.0,1.0,,,,,
3.18,1.51,-2.11,1.37,2.93,1.0,1.0,,,,,
3.19,2.67,-2.21,1.3,3.7,1.0,1.0,,,,,
3.2,3.92,-2.4,1.34,4.79,1.0,1.0,,,,,
3.21,5.09,-2.43,1.47,5.83,1.0,1.0,,,,,
3.22,6.34,-2.32,1.53,6.92,1.0,1.0,,,,,
3.23,7.92,-2.05,1.76,8.37,1.0,1.0,,,,,
3.24,9.84,-1.69,2.04,10.2,1.0,1.0,,,,,
3.25,12.0,-1.52,2.2,12.3,1.0,1.0,,,,,
3.26,14.7,-1.38,2.16,15.0,1.0,1.0,,,,,
3.27,17.5,-1.02,1.64,17.6,1.0,1.0,,,,,
3.28,19.6,-0.487,1.21,19.7,1.0,1.0,,,,,
3.29,21.0,0.409,1.43,21.1,1.0,1.0,,,,,
3.3,22.0,1.66,2.27,22.2,1.0,1.0,,,,,
3.31,22.9,3.16,2.57,23.2,1.0,1.0,,,,,
3.32,23.7,4.86,2.23,24.3,1.0,1.0,,,,,
3.33,23.6,6.46,1.82,24.5,1.0,1.0,,,,,
3.34,22.3,7.74,2.68,23.8,1.0,1.0,,,,,
3.35,21.0,8.89,3.6,23.0,1.0,1.0,,,,,
3.36,20.2,10.2,3.14,22.9,1.0,1.0,,,,,
3.37,20.3,10.8,2.32,23.1,1.0,1.0,,,,,
3.38,20.4,10.9,1.41,23.2,1.0,1.0,,,,,
3.39,20.3,10.7,1.0,23.0,1.0,1.0,,,,,
3.4,19.6,10.4,0.87,22.2,1.0,1.0,,,,,
3.41,18.5,10.0,0.664,21.1,1.0,1.0,,,,,
3.42,17.8,10.1,0.914,20.4,1.0,1.0,,,,,
3.43,17.4,10.5,1.64,20.4,1.0,1.0,,,,,
3.44,17.2,10.7,2.06,20.4,1.0,1.0,,,,,
3.45,17.1,10.5,2.09,20.2,1.0,1.0,,,,,
3.46,17.4,10.1,2.04,20.2,1.0,1.0,,,,,
3.47,17.9,9.78,1.8,20.5,1.0,1.0,,,,,
3.48,18.0,9.21,1.52,20.3,1.0,1.0,,,,,
3.49,17.9,8.26,1.59,19.8,1.0,1.0,,,,,
3.5,17.5,6.98,1.83,18.9,1.0,1.0,,,,,
3.51,16.9,5.73,2.03,18.0,1.0,1.0,,,,,
3.52,16.1,4.53,2.35,16.9,1.0,1.0,,,,,
3.53,15.1,3.35,2.94,15.8,1.0,1.0,,,,,
3.54,14.1,2.19,3.43,14.6,1.0,1.0,,,,,
3.55,13.0,1.08,3.49,13.5,1.0,1.0,,,,,
3.56,11.9,0.14,3.33,12.3,1.0,1.0,,,,,
3.57,10.6,-0.649,3.08,11.0,1.0,1.0,,,,,
3.58,9.12,-1.15,2.75,9.6,1.0,1.0,,,,,
3.59,7.76,-1.37,2.34,8.22,1.0,1.0,,,,,
3.6,6.6,-1.54,1.99,7.06,1.0,1.0,,,,,
3.61,5.72,-1.63,1.74,6.2,1.0,1.0,,,,,
3.62,5.06,-1.59,1.45,5.5,1.0,1.0,,,,,
3.63,4.45,-1.42,1.04,4.78,1.0,1.0,,,,,
3.64,4.17,-1.1,1.13,4.46,1.0,1.0,,,,,
3.65,4.23,-1.1,1.71,4.7,1.0,1.0,,,,,
3.66,4.17,-1.47,1.86,4.8,1.0,1.0,,,,,
3.67,3.93,-1.61,1.59,4.54,1.0,1.0,,,,,
3.68,3.51,-1.54,1.53,4.13,1.0,1.0,,,,,
3.69,3.0,-1.46,1.65,3.72,1.0,1.0,,,,,
3.7,2.59,-1.56,1.61,3.43,1.0,1.0,,,,,
3.71,2.24,-1.73,1.44,3.18,1.0,1.0,,,,,
3.72,1.82,-1.79,1.32,2.87,1.0,1.0,,,,,
3.73,1.4,-1.81,1.31,2.64,1.0,1.0,,,,,
3.74,0.956,-1.81,1.34,2.45,1.0,1.0,,,,,
3.75,0.526,-1.8,1.34,2.31,1.0,1.0,,,,,
3.76,0.258,-1.83,1.33,2.28,1.0,1.0,,,,,
3.77,0.186,-1.92,1.4,2.38,1.0,1.0,,,,,
3.78,0.242,-2.0,1.44,2.48,1.0,1.0,,,,,
3.79,0.345,-2.07,1.43,2.54,1.0,1.0,,,,,
3.8,0.469,-2.12,1.39,2.58,1.0,1.0,,,,,
3.81,0.565,-2.18,1.29,2.6,1.0,1.0,,,,,
3.82,0.694,-2.25,1.23,2.65,1.0,1.0,,,,,
3.83,0.952,-2.37,1.25,2.85,1.0,1.0,,,,,
3.84,1.37,-2.52,1.17,3.09,1.0,1.0,,,,,
3.85,1.93,-2.6,1.15,3.44,1.0,1.0,,,,,
3.86,2.44,-2.68,1.27,3.83,1.0,1.0,,,,,
3.87,2.94,-2.77,1.39,4.27,1.0,1.0,,,,,
3.88,3.61,-2.83,1.39,4.79,1.0,1.0,,,,,
3.89,4.58,-2.81,1.38,5.54,1.0,1.0,,,,,
3.9,5.93,-2.76,1.37,6.68,1.0,1.0,,,,,
3.91,7.48,-2.74,0.992,8.03,1.0,1.0,,,,,
3.92,9.05,-2.58,0.581,9.43,1.0,1.0,,,,,
3.93,11.1,-2.34,0.538,11.3,1.0,1.0,,,,,
3.94,13.4,-2.07,0.579,13.6,1.0,1.0,,,,,
3.95,16.3,-1.85,0.536,16.5,1.0,1.0,,,,,
3.96,19.9,-1.68,0.25,20.0,1.0,1.0,,,,,
3.97,23.2,-1.2,-0.182,23.2,1.0,1.0,,,,,
3.98,26.0,0.14,-0.239,26.0,1.0,1.0,,,,,
3.99,28.0,2.51,0.199,28.1,1.0,1.0,,,,,
4.0,29.0,5.52,1.08,29.5,1.0,1.0,,,,,
4.01,29.0,8.22,2.13,30.2,1.0,1.0,,,,,
4.02,27.8,9.96,3.19,29.7,1.0,1.0,,,,,
4.03,26.0,11.1,3.96,28.6,1.0,1.0,,,,,
4.04,24.5,11.7,4.23,27.5,1.0,1.0,,,,,
4.05,23.6,11.4,4.29,26.6,1.0,1.0,,,,,
4.06,22.7,10.3,4.42,25.3,1.0,1.0,,,,,
4.07,21.7,9.0,3.96,23.8,1.0,1.0,,,,,
4.08,20.6,7.99,3.24,22.3,1.0,1.0,,,,,
4.09,19.6,7.07,2.61,21.0,1.0,1.0,,,,,
4.1,19.1,6.36,2.19,20.3,1.0,1.0,,,,,
4.11,18.7,5.95,1.87,19.7,1.0,1.0,,,,,
4.12,18.3,5.69,1.63,19.2,1.0,1.0,,,,,
4.13,18.0,5.38,1.72,18.9,1.0,1.0,,,,,
4.14,17.9,4.99,1.9,18.7,1.0,1.0,,,,,
4.15,17.9,4.44,1.96,18.5,1.0,1.0,,,,,
4.16,17.8,3.88,2.12,18.3,1.0,1.0,,,,,
4.17,17.4,3.34,2.41,17.9,1.0,1.0,,,,,
4.18,16.7,2.84,2.75,17.2,1.0,1.0,,,,,
4.19,16.2,2.39,3.21,16.6,1.0,1.0,,,,,
4.2,15.4,1.82,3.69,16.0,1.0,1.0,,,,,
4.21,14.6,1.28,4.13,15.2,1.0,1.0,,,,,
4.22,13.7,0.653,4.41,14.4,1.0,1.0,,,,,
4.23,12.8,0.0021,4.35,13.5,1.0,1.0,,,,,
4.24,11.9,-0.406,4.13,12.6,1.0,1.0,,,,,
4.25,10.9,-0.573,3.86,11.6,1.0,1.0,,,,,
4.26,9.65,-0.743,3.26,10.2,1.0,1.0,,,,,
4.27,8.45,-0.81,2.66,8.9,1.0,1.0,,,,,
4.28,7.51,-0.705,2.39,7.92,1.0,1.0,,,,,
4.29,6.63,-0.683,2.11,6.99,1.0,1.0,,,,,
4.3,5.81,-0.673,1.83,6.13,1.0,1.0,,,,,
4.31,5.09,-0.718,1.71,5.42,1.0,1.0,,,,,
4.32,4.32,-0.916,1.55,4.68,1.0,1.0,,,,,
4.33,3.36,-1.11,1.37,3.79,1.0,1.0,,,,,
4.34,2.38,-1.14,1.32,2.95,1.0,1.0,,,,,
4.35,1.52,-1.08,1.22,2.23,1.0,1.0,,,,,
4.36,0.832,-1.07,1.0,1.68,1.0,1.0,,,,,
4.37,0.319,-1.12,0.781,1.4,1.0,1.0,,,,,
4.38,-0.0919,-1.17,0.657,1.34,1.0,1.0,,,,,
4.39,-0.382,-1.12,0.543,1.3,1.0,1.0,,,,,
4.4,-0.57,-1.02,0.446,1.25,1.0,1.0,,,,,
4.41,-0.636,-0.876,0.428,1.16,1.0,1.0,,,,,
4.42,-0.558,-0.716,0.422,1.0,1.0,1.0,,,,,
4.43,-0.473,-0.609,0.438,0.887,1.0,1.0,,,,,
4.44,-0.452,-0.503,0.472,0.825,1.0,1.0,,,,,
4.45,-0.433,-0.32,0.514,0.744,1.0,1.0,,,,,
4.46,-0.367,-0.107,0.57,0.687,1.0,1.0,,,,,
4.47,-0.264,0.0756,0.644,0.7,1.0,1.0,,,,,
4.48,-0.0515,0.223,0.77,0.803,1.0,1.0,,,,,
4.49,0.349,0.377,0.975,1.1,1.0,1.0,,,,,
4.5,0.797,0.399,1.17,1.47,1.0,1.0,,,,,
4.51,1.22,0.322,1.14,1.7,1.0,1.0,,,,,
4.52,1.61,0.307,1.07,1.96,1.0,1.0,,,,,
4.53,2.0,0.342,1.15,2.33,1.0,1.0,,,,,
4.54,2.53,0.436,1.26,2.86,1.0,1.0,,,,,
4.55,3.13,0.488,1.35,3.44,1.0,1.0,,,,,
4.56,3.78,0.403,1.34,4.03,1.0,1.0,,,,,
4.57,4.32,0.297,1.22,4.5,1.0,1.0,,,,,
4.58,4.97,0.129,1.21,5.12,1.0,1.0,,,,,
4.59,5.68,-0.0871,1.23,5.82,1.0,1.0,,,,,
4.6,6.4,-0.417,1.17,6.52,1.0,1.0,,,,,
4.61,6.95,-0.807,1.02,7.07,1.0,1.0,,,,,
4.62,7.36,-1.15,1.01,7.52,1.0,1.0,,,,,
4.63,7.92,-1.54,1.3,8.17,1.0,1.0,,,,,
4.64,8.56,-1.94,1.62,8.92,1.0,1.0,,,,,
4.65,9.48,-2.25,1.97,9.94,1.0,1.0,,,,,
4.66,10.9,-2.23,2.49,11.4,1.0,1.0,,,,,
4.67,13.0,-1.92,3.16,13.5,1.0,1.0,,,,,
4.68,15.3,-1.61,3.67,15.8,1.0,1.0,,,,,
4.69,17.3,-1.2,3.87,17.7,1.0,1.0,,,,,
4.7,19.4,-0.73,3.98,19.8,1.0,1.0,,,,,
4.71,21.3,0.0768,4.07,21.6,1.0,1.0,,,,,
4.72,22.6,1.55,3.94,23.0,1.0,1.0,,,,,
4.73,24.0,3.32,3.66,24.5,1.0,1.0,,,,,
4.74,24.9,5.02,3.03,25.5,1.0,1.0,,,,,
4.75,25.0,6.65,2.04,26.0,1.0,1.0,,,,,
4.76,24.3,7.96,1.23,25.6,1.0,1.0,,,,,
4.77,23.3,9.17,0.984,25.1,1.0,1.0,,,,,
4.78,22.8,10.3,0.519,25.0,1.0,1.0,,,,,
